openlibrary_id,title,authors,first_publish_year,subjects,edition_count,work_key,cover_id,type,genre,summary
OL11967335W,Princeps' Fury,Jim Butcher,2008.0,"Fantasy, Fiction, Imaginary wars and battles, Boys, War stories, American Fantasy fiction, nyt:hardcover-fiction=2008-12-14, New York Times bestseller, Compact discs, Audiobooks, Fiction, fantasy, general",5,/works/OL11967335W,8310407.0,fiction,Fantasy,
OL11967337W,White Night,Jim Butcher,2007.0,"Magicians, Brothers, Fantasy fiction, Harry Dresden (Fictitious character), Wizards, Crimes against, Fiction, Fantasy, Vampires, Large type books, Chicago (ill.), fiction, Private investigators, fiction, Fiction, fantasy, general",6,/works/OL11967337W,1237182.0,fiction,Fantasy,
OL11967338W,Turn Coat,Jim Butcher,2009.0,"The Dresden Files (series), Harry Dresden (Fictitious character), Fiction, Fantasy, Wizards, Wizards in fiction, Fiction, fantasy, paranormal, Chicago (ill.), fiction, Private investigators, fiction, Fiction, mystery & detective, general, Large type books, nyt:hardcover-fiction=2009-04-26, New York Times bestseller, Fiction, fantasy, general",7,/works/OL11967338W,6422690.0,fiction,Fantasy,
OL11967339W,Small favor,Jim Butcher,2008.0,"Fiction, Urban Fantasy, Wizards, Fantasy, wizards in fiction, Harry Dresden (Fictitious character), Large type books, nyt:mass-market-paperback=2009-03-22, New York Times bestseller, Fiction, fantasy, general, Chicago (ill.), fiction",8,/works/OL11967339W,8047953.0,fiction,Fantasy,
OL11967436W,Bitten to death,Jennifer Rardin,2008.0,"Fiction, Murder for hire, Assassins, Vampires, Jaz Parks (Fictitious character), Fantasy",3,/works/OL11967436W,6394948.0,fiction,Fantasy,
OL11975126W,Havemercy,Jaida Jones,2008.0,"Fiction, Fantasy, Fiction, fantasy, general, Magicians, fiction",3,/works/OL11975126W,6958668.0,fiction,Fantasy,
OL11975127W,Shadow magic,Jaida Jones,2009.0,"Fiction, Diplomats, Imaginary places, Magic, Dragons, Fantasy, Fiction, fantasy, general, Imaginary places, fiction",3,/works/OL11975127W,6306687.0,fiction,Fantasy,
OL11976322W,Clash of the Demons,Joseph Delaney,2009.0,"Apprentices, Supernatural, Fiction, Teenage boys, Tom Ward (Fictitious character), Juvenile fiction, Mothers, Fantasy, Witches, Ghosts, Children's fiction, Apprentices, fiction, Supernatural, fiction, Greece, fiction",10,/works/OL11976322W,6305459.0,fiction,Fantasy,
OL11983217W,Land keep,J. Scott Savage,2009.0,"Fiction, Magic, Fantasy, People with disabilities, Foundlings, Juvenile fiction, Teenagers with disabilities, American Authors",6,/works/OL11983217W,9674884.0,fiction,Fantasy,
OL12005792W,The Wolf Tree,John Claude Bemis,2010.0,"Orphans, Fiction, Brothers and sisters, Characters in literature, Fantasy, Children's fiction, Orphans, fiction, Brothers and sisters, fiction, Fantasy fiction",3,/works/OL12005792W,13306551.0,fiction,Fantasy,
OL12006821W,Blood and ice,Robert Masello,2009.0,"Journalists, Fiction, Fantasy, Suspense, Crimean War, 1853-1856, Veterans, Thriller, Discovery and exploration, Fiction, occult & supernatural, Journalists, fiction, Crimean war, 1853-1856, fiction, Veterans, fiction, Antarctica, fiction, Fiction, historical, general, Fiction, suspense",5,/works/OL12006821W,6798785.0,fiction,Fantasy,
OL12048392W,Dragon Spear,Jessica Day George,2009.0,"Juvenile fiction, Dragons, Fantasy, Kings, queens, rulers, Fiction, Children's fiction, Dragons, fiction, Kings, queens, rulers, etc., fiction, Fantasy fiction, Creel (Fictitious character : George)",4,/works/OL12048392W,7086958.0,fiction,Fantasy,
OL12048884W,The prodigal mage,Karen Miller,2009.0,"Fantasy, Fiction, Seasons, Weather, Fiction, fantasy, general",6,/works/OL12048884W,6401494.0,fiction,Fantasy,
OL121734W,Deadly gift,"Heather Graham, Phil Gigante",2008.0,"Private investigators, Serial murders, Paranormal, Fiction, Romance, Fantasy, Haunted houses, Fiction, romance, suspense, Fiction, occult & supernatural, New york (n.y.), fiction, Large type books, nyt:mass-market-paperback=2008-12-14, New York Times bestseller, Fiction, mystery & detective, general, Fiction, ghost, Private investigators, fiction, Serial murders, fiction, New orleans (la.), fiction",8,/works/OL121734W,6989365.0,fiction,Fantasy,
OL121735W,Deadly harvest,"Heather Graham, Phil Gigante",2008.0,"Romance, Murder, Police, Serial murders, Paranormal, Crimes against, Fiction, Fantasy, Investigation, Missing persons, Women, Fiction, romance, suspense, Fiction, romance, paranormal, Serial murders, fiction, Salem (mass.), fiction, Crime, fiction, Fiction, ghost, Fiction, occult & supernatural, Large type books, nyt:mass-market-paperback=2008-11-16, New York Times bestseller, Fiction, romance, paranormal, general, Fiction, mystery & detective, police procedural",10,/works/OL121735W,6794259.0,fiction,Fantasy,
OL121736W,Deadly night,Heather Graham,2008.0,"Private investigators, Serial murders, Tarot cards, Fiction, Romance, Fantasy, Haunted houses, Paranormal, Fiction, romance, suspense, Private investigators, fiction, New orleans (la.), fiction, Serial murders, fiction, Brothers, fiction, Fiction, romance, paranormal, Large type books, nyt:mass-market-paperback=2008-10-19, New York Times bestseller, Fiction, romance, paranormal, general, Fiction, suspense, Fiction, mystery & detective, general, Fiction, occult & supernatural",9,/works/OL121736W,7070403.0,fiction,Fantasy,
OL121744W,Kiss of Darkness,Heather Graham,2006.0,"Suspense, Vampires, College teachers in fiction, College students, Paranormal, Fiction, Romance, Fantasy, Women psychologists in fiction, College teachers, Vampires in fiction, Women psychologists, College students in fiction, Fiction, romance, fantasy, Large type books, Fiction, romance, suspense, Fiction, thrillers, suspense, Fiction, thrillers, general, Fiction, romance, contemporary",6,/works/OL121744W,531976.0,fiction,Fantasy,
OL121754W,The séance,Heather Graham,2007.0,"Spiritualism, Police, Romantic suspense, Serial murders, Paranormal, Fiction, Romance, Fantasy, Ouija board, Serial murderers, Ouija boards, Fiction, romance, fantasy, Oui-ja, Romans, nouvelles, Tueurs en série, Large type books, Fiction, occult & supernatural, Fiction, horror, Serial murders, fiction, Florida, fiction",10,/works/OL121754W,12773247.0,fiction,Fantasy,
OL121763W,The Dead Room,Heather Graham,2007.0,"Mystery, Fiction, Romance, Fantasy, Thriller, Women mediums, Fiction, romance, general, Fiction, romance, suspense, Fiction, occult & supernatural, New york (n.y.), fiction, Large type books",23,/works/OL121763W,1458643.0,fiction,Fantasy,
OL121819W,"Guardians of GaHoole, Book Two",Kathryn Lasky,2003.0,"Digger (Fictitious character), Fantasy fiction, Juvenile fiction, Gylfie (Fictitious character), Fiction, nyt:series_books=2010-09-05, Owls, Soren (Fictitious character), New York Times bestseller, Twilight (Fictitious character), Good and evil, Tyto (Imaginary place), Fantasy, Children's fiction, JUVENILE FICTION / Fantasy & Magic, JUVENILE FICTION / Social Themes / Friendship, Good and evil in fiction, Owls in fiction, Large type books, Children's stories, Good and evil, fiction, Owls, fiction, Adventure and adventurers, fiction, Animals, fiction, Spanish language materials, Juvenile literature",19,/works/OL121819W,539874.0,fiction,Fantasy,
OL121826W,Lone wolf,Kathryn Lasky,2010.0,"Fantasy, Wolves, Fiction, Courage, Fantasy fiction, Juvenile fiction, Children's fiction, Wolves, fiction, Courage, fiction, Loup, Aventures",12,/works/OL121826W,6424817.0,fiction,Fantasy,
